in s,C1 in V
-7.86000E-05,-7.59766E-03
-7.85980E-05,-7.59766E-03
-7.85960E-05,-1.24805E-02
-7.85940E-05,-1.24805E-02
-7.85920E-05,-7.59766E-03
-7.85900E-05,-1.73633E-02
-7.85880E-05,-1.24805E-02
-7.85860E-05,-1.73633E-02
-7.85840E-05,-2.71484E-03
-7.85820E-05,-7.59766E-03
-7.85800E-05,-1.73633E-02
-7.85780E-05,-1.24805E-02
-7.85760E-05,-2.22461E-02
-7.85740E-05,-1.73633E-02
-7.85720E-05,-1.73633E-02
-7.85700E-05,-1.24805E-02
-7.85680E-05,-7.59766E-03
-7.85660E-05,-1.24805E-02
-7.85640E-05,-1.73633E-02
-7.85620E-05,-7.59766E-03
-7.85600E-05,-7.59766E-03
-7.85580E-05,-7.59766E-03
-7.85560E-05,-2.71484E-03
-7.85540E-05,-2.22461E-02
-7.85520E-05,2.16797E-03
-7.85500E-05,-7.59766E-03
-7.85480E-05,-7.59766E-03
-7.85460E-05,2.16797E-03
-7.85440E-05,-1.24805E-02
-7.85420E-05,-1.24805E-02
-7.85400E-05,-1.73633E-02
-7.85380E-05,-2.71484E-03
-7.85360E-05,-7.59766E-03
-7.85340E-05,2.16797E-03
-7.85320E-05,-1.24805E-02
-7.85300E-05,2.16797E-03
-7.85280E-05,-7.59766E-03
-7.85260E-05,-1.24805E-02
-7.85240E-05,-7.59766E-03
-7.85220E-05,-1.24805E-02
-7.85200E-05,-7.59766E-03
-7.85180E-05,-2.22461E-02
-7.85160E-05,-1.73633E-02
-7.85140E-05,-2.71484E-03
-7.85120E-05,2.16797E-03
-7.85100E-05,-1.24805E-02
-7.85080E-05,-2.22461E-02
-7.85060E-05,-2.22461E-02
-7.85040E-05,-2.22461E-02
-7.85020E-05,-2.71484E-03
-7.85000E-05,1.19336E-02
-7.84980E-05,2.16797E-03
-7.84960E-05,-1.24805E-02
-7.84940E-05,-7.59766E-03
-7.84920E-05,7.05078E-03
-7.84900E-05,-2.22461E-02
-7.84880E-05,-7.59766E-03
-7.84860E-05,-1.73633E-02
-7.84840E-05,-2.22461E-02
-7.84820E-05,-2.22461E-02
-7.84800E-05,-1.24805E-02
-7.84780E-05,7.05078E-03
-7.84760E-05,-7.59766E-03
-7.84740E-05,-1.73633E-02
-7.84720E-05,-7.59766E-03
-7.84700E-05,-1.24805E-02
-7.84680E-05,-2.71484E-03
-7.84660E-05,-1.24805E-02
-7.84640E-05,-1.24805E-02
-7.84620E-05,-7.59766E-03
-7.84600E-05,2.16797E-03
-7.84580E-05,2.16797E-03
-7.84560E-05,-1.24805E-02
-7.84540E-05,-7.59766E-03
-7.84520E-05,-7.59766E-03
-7.84500E-05,-1.73633E-02
-7.84480E-05,-2.71484E-03
-7.84460E-05,-2.71484E-03
-7.84440E-05,-2.71484E-03
-7.84420E-05,7.05078E-03
-7.84400E-05,-1.73633E-02
-7.84380E-05,7.05078E-03
-7.84360E-05,-1.73633E-02
-7.84340E-05,-1.24805E-02
-7.84320E-05,-7.59766E-03
-7.84300E-05,-2.71484E-03
-7.84280E-05,-2.71484E-03
-7.84260E-05,2.16797E-03
-7.84240E-05,2.16797E-03
-7.84220E-05,-2.71484E-03
-7.84200E-05,-7.59766E-03
-7.84180E-05,-1.24805E-02
-7.84160E-05,-2.71484E-03
-7.84140E-05,-2.22461E-02
-7.84120E-05,-1.24805E-02
-7.84100E-05,-2.22461E-02
-7.84080E-05,-7.59766E-03
-7.84060E-05,-1.24805E-02
-7.84040E-05,-2.71484E-03
-7.84020E-05,-2.22461E-02
-7.84000E-05,-7.59766E-03
-7.83980E-05,-7.59766E-03
-7.83960E-05,-1.24805E-02
-7.83940E-05,-2.22461E-02
-7.83920E-05,2.16797E-03
-7.83900E-05,-7.59766E-03
-7.83880E-05,-7.59766E-03
-7.83860E-05,-2.71484E-03
-7.83840E-05,-2.22461E-02
-7.83820E-05,-1.24805E-02
-7.83800E-05,-2.71484E-03
-7.83780E-05,-2.71484E-03
-7.83760E-05,-2.22461E-02
-7.83740E-05,-2.71484E-03
-7.83720E-05,-2.71484E-03
-7.83700E-05,-2.71484E-03
-7.83680E-05,-1.24805E-02
-7.83660E-05,2.16797E-03
-7.83640E-05,1.19336E-02
-7.83620E-05,-2.71484E-03
-7.83600E-05,-7.59766E-03
-7.83580E-05,-1.73633E-02
-7.83560E-05,-1.24805E-02
-7.83540E-05,-2.22461E-02
-7.83520E-05,-7.59766E-03
-7.83500E-05,-2.71484E-03
-7.83480E-05,-2.71484E-03
-7.83460E-05,7.05078E-03
-7.83440E-05,-7.59766E-03
-7.83420E-05,-7.59766E-03
-7.83400E-05,-7.59766E-03
-7.83380E-05,-2.71484E-03
-7.83360E-05,-7.59766E-03
-7.83340E-05,-1.24805E-02
-7.83320E-05,-2.71484E-03
-7.83300E-05,-1.24805E-02
-7.83280E-05,-1.24805E-02
-7.83260E-05,-7.59766E-03
-7.83240E-05,-7.59766E-03
-7.83220E-05,-7.59766E-03
-7.83200E-05,-7.59766E-03
-7.83180E-05,-7.59766E-03
-7.83160E-05,-7.59766E-03
-7.83140E-05,-1.73633E-02
-7.83120E-05,-7.59766E-03
-7.83100E-05,-7.59766E-03
-7.83080E-05,-1.24805E-02
-7.83060E-05,-1.24805E-02
-7.83040E-05,-7.59766E-03
-7.83020E-05,-7.59766E-03
-7.83000E-05,2.16797E-03
-7.82980E-05,-1.24805E-02
-7.82960E-05,-2.22461E-02
-7.82940E-05,-2.71484E-03
-7.82920E-05,-1.24805E-02
-7.82900E-05,-2.22461E-02
-7.82880E-05,7.05078E-03
-7.82860E-05,-1.24805E-02
-7.82840E-05,-7.59766E-03
-7.82820E-05,-7.59766E-03
-7.82800E-05,-1.24805E-02
-7.82780E-05,-7.59766E-03
-7.82760E-05,-2.71484E-03
-7.82740E-05,-1.24805E-02
-7.82720E-05,-7.59766E-03
-7.82700E-05,-1.24805E-02
-7.82680E-05,-1.24805E-02
-7.82660E-05,-2.22461E-02
-7.82640E-05,-2.71484E-03
-7.82620E-05,-7.59766E-03
-7.82600E-05,-1.24805E-02
-7.82580E-05,-1.24805E-02
-7.82560E-05,-1.24805E-02
-7.82540E-05,-1.24805E-02
-7.82520E-05,-7.59766E-03
-7.82500E-05,-7.59766E-03
-7.82480E-05,-1.24805E-02
-7.82460E-05,-2.71484E-03
-7.82440E-05,2.16797E-03
-7.82420E-05,-2.22461E-02
-7.82400E-05,-1.24805E-02
-7.82380E-05,-7.59766E-03
-7.82360E-05,7.05078E-03
-7.82340E-05,-1.73633E-02
-7.82320E-05,-2.71484E-03
-7.82300E-05,-1.24805E-02
-7.82280E-05,2.16797E-03
-7.82260E-05,2.16797E-03
-7.82240E-05,-2.71484E-03
-7.82220E-05,-7.59766E-03
-7.82200E-05,-1.24805E-02
-7.82180E-05,-7.59766E-03
-7.82160E-05,-1.24805E-02
-7.82140E-05,-2.71484E-03
-7.82120E-05,7.05078E-03
-7.82100E-05,-2.71484E-03
-7.82080E-05,2.16797E-03
-7.82060E-05,-7.59766E-03
-7.82040E-05,-1.73633E-02
-7.82020E-05,-1.24805E-02
-7.82000E-05,-7.59766E-03
-7.81980E-05,-1.24805E-02
-7.81960E-05,-2.71484E-03
-7.81940E-05,-7.59766E-03
-7.81920E-05,-2.22461E-02
-7.81900E-05,-1.24805E-02
-7.81880E-05,7.05078E-03
-7.81860E-05,-2.71484E-03
-7.81840E-05,-7.59766E-03
-7.81820E-05,-2.71484E-03
-7.81800E-05,-7.59766E-03
-7.81780E-05,-2.71484E-03
-7.81760E-05,2.16797E-03
-7.81740E-05,-2.71289E-02
-7.81720E-05,-1.73633E-02
-7.81700E-05,-1.73633E-02
-7.81680E-05,-2.71484E-03
-7.81660E-05,-1.24805E-02
-7.81640E-05,-7.59766E-03
-7.81620E-05,-7.59766E-03
-7.81600E-05,1.19336E-02
-7.81580E-05,-2.71484E-03
-7.81560E-05,-2.71484E-03
-7.81540E-05,-7.59766E-03
-7.81520E-05,-2.22461E-02
-7.81500E-05,-7.59766E-03
-7.81480E-05,-2.71484E-03
-7.81460E-05,-7.59766E-03
-7.81440E-05,-1.24805E-02
-7.81420E-05,-7.59766E-03
-7.81400E-05,-7.59766E-03
-7.81380E-05,-2.71484E-03
-7.81360E-05,2.16797E-03
-7.81340E-05,2.16797E-03
-7.81320E-05,-7.59766E-03
-7.81300E-05,-1.24805E-02
-7.81280E-05,-1.24805E-02
-7.81260E-05,2.16797E-03
-7.81240E-05,2.16797E-03
-7.81220E-05,-2.71484E-03
-7.81200E-05,-1.73633E-02
-7.81180E-05,-1.24805E-02
-7.81160E-05,2.16797E-03
-7.81140E-05,-2.22461E-02
-7.81120E-05,-1.73633E-02
-7.81100E-05,-1.73633E-02
-7.81080E-05,2.16797E-03
-7.81060E-05,-1.73633E-02
-7.81040E-05,-7.59766E-03
-7.81020E-05,-2.22461E-02
-7.81000E-05,-2.22461E-02
-7.80980E-05,-1.24805E-02
-7.80960E-05,-2.71484E-03
-7.80940E-05,-1.24805E-02
-7.80920E-05,-1.24805E-02
-7.80900E-05,-7.59766E-03
-7.80880E-05,-1.73633E-02
-7.80860E-05,7.05078E-03
-7.80840E-05,2.16797E-03
-7.80820E-05,-1.24805E-02
-7.80800E-05,-2.22461E-02
-7.80780E-05,-7.59766E-03
-7.80760E-05,-1.24805E-02
-7.80740E-05,-1.24805E-02
-7.80720E-05,-1.24805E-02
-7.80700E-05,-7.59766E-03
-7.80680E-05,7.05078E-03
-7.80660E-05,-7.59766E-03
-7.80640E-05,-7.59766E-03
-7.80620E-05,2.16797E-03
-7.80600E-05,7.05078E-03
-7.80580E-05,-1.24805E-02
-7.80560E-05,2.16797E-03
-7.80540E-05,-1.73633E-02
-7.80520E-05,-2.71484E-03
-7.80500E-05,-2.71484E-03
-7.80480E-05,-1.73633E-02
-7.80460E-05,-7.59766E-03
-7.80440E-05,2.16797E-03
-7.80420E-05,-2.22461E-02
-7.80400E-05,-7.59766E-03
-7.80380E-05,-2.71484E-03
-7.80360E-05,-2.22461E-02
-7.80340E-05,-2.71484E-03
-7.80320E-05,-2.22461E-02
-7.80300E-05,2.16797E-03
-7.80280E-05,-1.24805E-02
-7.80260E-05,-2.71484E-03
-7.80240E-05,-1.73633E-02
-7.80220E-05,-7.59766E-03
-7.80200E-05,-1.73633E-02
-7.80180E-05,-1.73633E-02
-7.80160E-05,-7.59766E-03
-7.80140E-05,-1.24805E-02
-7.80120E-05,-7.59766E-03
-7.80100E-05,-1.24805E-02
-7.80080E-05,-1.24805E-02
-7.80060E-05,-2.71484E-03
-7.80040E-05,-2.71484E-03
-7.80020E-05,-2.22461E-02
-7.80000E-05,7.05078E-03
-7.79980E-05,-1.24805E-02
-7.79960E-05,7.05078E-03
-7.79940E-05,-7.59766E-03
-7.79920E-05,-1.24805E-02
-7.79900E-05,-7.59766E-03
-7.79880E-05,7.05078E-03
-7.79860E-05,-1.24805E-02
-7.79840E-05,-1.24805E-02
-7.79820E-05,-2.71484E-03
-7.79800E-05,-7.59766E-03
-7.79780E-05,-2.22461E-02
-7.79760E-05,-7.59766E-03
-7.79740E-05,-1.73633E-02
-7.79720E-05,2.16797E-03
-7.79700E-05,-1.24805E-02
-7.79680E-05,2.16797E-03
-7.79660E-05,-1.24805E-02
-7.79640E-05,-7.59766E-03
-7.79620E-05,-2.22461E-02
-7.79600E-05,2.16797E-03
-7.79580E-05,7.05078E-03
-7.79560E-05,-7.59766E-03
-7.79540E-05,-1.73633E-02
-7.79520E-05,-2.71484E-03
-7.79500E-05,-7.59766E-03
-7.79480E-05,-1.24805E-02
-7.79460E-05,2.16797E-03
-7.79440E-05,-2.71484E-03
-7.79420E-05,-1.24805E-02
-7.79400E-05,-7.59766E-03
-7.79380E-05,1.19336E-02
-7.79360E-05,-1.73633E-02
-7.79340E-05,-1.24805E-02
-7.79320E-05,-1.24805E-02
-7.79300E-05,-7.59766E-03
-7.79280E-05,-1.24805E-02
-7.79260E-05,-2.22461E-02
-7.79240E-05,-1.73633E-02
-7.79220E-05,2.16797E-03
-7.79200E-05,-7.59766E-03
-7.79180E-05,-2.71484E-03
-7.79160E-05,2.16797E-03
