in s,C2 in V
-5.350000E-05,6.28906E-03
-5.349520E-05,-1.32422E-02
-5.349040E-05,-3.47656E-03
-5.348560E-05,-2.30078E-02
-5.348080E-05,-1.32422E-02
-5.347600E-05,-2.30078E-02
-5.347120E-05,-3.27734E-02
-5.346640E-05,-3.47656E-03
-5.346160E-05,6.28906E-03
-5.345680E-05,-1.32422E-02
-5.345200E-05,-1.32422E-02
-5.344720E-05,-1.32422E-02
-5.344240E-05,-1.32422E-02
-5.343760E-05,-3.27734E-02
-5.343280E-05,1.60547E-02
-5.342800E-05,1.60547E-02
-5.342320E-05,6.28906E-03
-5.341840E-05,-3.27734E-02
-5.341360E-05,6.28906E-03
-5.340880E-05,-1.32422E-02
-5.340400E-05,-2.30078E-02
-5.339920E-05,-2.30078E-02
-5.339440E-05,-1.32422E-02
-5.338960E-05,-1.32422E-02
-5.338480E-05,-3.47656E-03
-5.338000E-05,-1.32422E-02
-5.337520E-05,-3.47656E-03
-5.337040E-05,-3.27734E-02
-5.336560E-05,-3.47656E-03
-5.336080E-05,-3.47656E-03
-5.335600E-05,-1.32422E-02
-5.335120E-05,6.28906E-03
-5.334640E-05,1.60547E-02
-5.334160E-05,6.28906E-03
-5.333680E-05,6.28906E-03
-5.333200E-05,-1.32422E-02
-5.332720E-05,-4.25391E-02
-5.332240E-05,1.60547E-02
-5.331760E-05,-1.32422E-02
-5.331280E-05,6.28906E-03
-5.330800E-05,-2.30078E-02
-5.330320E-05,-3.47656E-03
-5.329840E-05,1.60547E-02
-5.329360E-05,-1.32422E-02
-5.328880E-05,-3.47656E-03
-5.328400E-05,-3.47656E-03
-5.327920E-05,-3.47656E-03
-5.327440E-05,-1.32422E-02
-5.326960E-05,-1.32422E-02
-5.326480E-05,-4.25391E-02
-5.326000E-05,-4.25391E-02
-5.325520E-05,-1.32422E-02
-5.325040E-05,-3.47656E-03
-5.324560E-05,6.28906E-03
-5.324080E-05,6.28906E-03
-5.323600E-05,-1.32422E-02
-5.323120E-05,-1.32422E-02
-5.322640E-05,-1.32422E-02
-5.322160E-05,-1.32422E-02
-5.321680E-05,-3.27734E-02
-5.321200E-05,-1.32422E-02
-5.320720E-05,6.28906E-03
-5.320240E-05,-1.32422E-02
-5.319760E-05,-3.27734E-02
-5.319280E-05,-1.32422E-02
-5.318800E-05,6.28906E-03
-5.318320E-05,-1.32422E-02
-5.317840E-05,-3.47656E-03
-5.317360E-05,1.60547E-02
-5.316880E-05,-4.25391E-02
-5.316400E-05,-1.32422E-02
-5.315920E-05,-1.32422E-02
-5.315440E-05,6.28906E-03
-5.314960E-05,-3.47656E-03
-5.314480E-05,-1.32422E-02
-5.314000E-05,6.28906E-03
-5.313520E-05,-1.32422E-02
-5.313040E-05,-2.30078E-02
-5.312560E-05,-1.32422E-02
-5.312080E-05,-2.30078E-02
-5.311600E-05,-2.30078E-02
-5.311120E-05,-3.47656E-03
-5.310640E-05,-2.30078E-02
-5.310160E-05,-3.47656E-03
-5.309680E-05,-1.32422E-02
-5.309200E-05,-1.32422E-02
-5.308720E-05,-3.47656E-03
-5.308240E-05,-2.30078E-02
-5.307760E-05,-2.30078E-02
-5.307280E-05,-1.32422E-02
-5.306800E-05,-1.32422E-02
-5.306320E-05,-1.32422E-02
-5.305840E-05,-2.30078E-02
-5.305360E-05,-3.47656E-03
-5.304880E-05,1.60547E-02
-5.304400E-05,6.28906E-03
-5.303920E-05,-3.27734E-02
-5.303440E-05,-1.32422E-02
-5.302960E-05,-2.30078E-02
-5.302480E-05,-3.47656E-03
-5.302000E-05,6.28906E-03
-5.301520E-05,6.28906E-03
-5.301040E-05,-1.32422E-02
-5.300560E-05,-2.30078E-02
-5.300080E-05,-1.32422E-02
-5.299600E-05,-1.32422E-02
-5.299120E-05,6.28906E-03
-5.298640E-05,-1.32422E-02
-5.298160E-05,6.28906E-03
-5.297680E-05,-1.32422E-02
-5.297200E-05,1.60547E-02
-5.296720E-05,-1.32422E-02
-5.296240E-05,6.28906E-03
