in s,C1 in V
-1.400000E-04,9.76563E-05
-1.399952E-04,-4.78516E-03
-1.399904E-04,9.76563E-05
-1.399856E-04,9.76563E-05
-1.399808E-04,-4.78516E-03
-1.399760E-04,-4.78516E-03
-1.399712E-04,-4.78516E-03
-1.399664E-04,9.76563E-05
-1.399616E-04,9.76563E-05
-1.399568E-04,-9.66797E-03
-1.399520E-04,4.98047E-03
-1.399472E-04,-9.66797E-03
-1.399424E-04,-9.66797E-03
-1.399376E-04,9.86328E-03
-1.399328E-04,-1.45508E-02
-1.399280E-04,9.76563E-05
-1.399232E-04,-4.78516E-03
-1.399184E-04,-1.45508E-02
-1.399136E-04,-9.66797E-03
-1.399088E-04,9.76563E-05
-1.399040E-04,-1.94336E-02
-1.398992E-04,-1.45508E-02
-1.398944E-04,-1.45508E-02
-1.398896E-04,-2.43164E-02
-1.398848E-04,4.98047E-03
-1.398800E-04,-9.66797E-03
-1.398752E-04,9.76563E-05
-1.398704E-04,-1.94336E-02
-1.398656E-04,-1.45508E-02
-1.398608E-04,-1.94336E-02
-1.398560E-04,-4.78516E-03
-1.398512E-04,9.76563E-05
-1.398464E-04,-9.66797E-03
-1.398416E-04,4.98047E-03
-1.398368E-04,-9.66797E-03
-1.398320E-04,9.76563E-05
-1.398272E-04,-9.66797E-03
-1.398224E-04,-1.45508E-02
-1.398176E-04,-1.45508E-02
-1.398128E-04,-1.45508E-02
-1.398080E-04,-4.78516E-03
-1.398032E-04,-9.66797E-03
-1.397984E-04,-1.45508E-02
-1.397936E-04,9.76563E-05
-1.397888E-04,4.98047E-03
-1.397840E-04,-2.43164E-02
-1.397792E-04,-1.45508E-02
-1.397744E-04,4.98047E-03
-1.397696E-04,-9.66797E-03
-1.397648E-04,-4.78516E-03
-1.397600E-04,-1.45508E-02
-1.397552E-04,-9.66797E-03
-1.397504E-04,9.76563E-05
-1.397456E-04,-9.66797E-03
-1.397408E-04,-1.45508E-02
-1.397360E-04,-4.78516E-03
-1.397312E-04,9.76563E-05
-1.397264E-04,-4.78516E-03
-1.397216E-04,-4.78516E-03
-1.397168E-04,-1.45508E-02
-1.397120E-04,-4.78516E-03
-1.397072E-04,-1.45508E-02
-1.397024E-04,4.98047E-03
-1.396976E-04,9.76563E-05
-1.396928E-04,-1.45508E-02
-1.396880E-04,-4.78516E-03
-1.396832E-04,-4.78516E-03
-1.396784E-04,-2.43164E-02
-1.396736E-04,-4.78516E-03
-1.396688E-04,-9.66797E-03
-1.396640E-04,-4.78516E-03
-1.396592E-04,-1.45508E-02
-1.396544E-04,-9.66797E-03
-1.396496E-04,4.98047E-03
-1.396448E-04,4.98047E-03
-1.396400E-04,-4.78516E-03
-1.396352E-04,-9.66797E-03
-1.396304E-04,9.86328E-03
-1.396256E-04,-9.66797E-03
-1.396208E-04,-1.45508E-02
-1.396160E-04,-9.66797E-03
-1.396112E-04,-9.66797E-03
-1.396064E-04,-9.66797E-03
-1.396016E-04,-4.78516E-03
-1.395968E-04,-9.66797E-03
-1.395920E-04,-4.78516E-03
-1.395872E-04,9.76563E-05
-1.395824E-04,-9.66797E-03
-1.395776E-04,-4.78516E-03
-1.395728E-04,4.98047E-03
-1.395680E-04,4.98047E-03
-1.395632E-04,-9.66797E-03
-1.395584E-04,9.76563E-05
-1.395536E-04,9.76563E-05
-1.395488E-04,9.76563E-05
-1.395440E-04,-1.45508E-02
-1.395392E-04,-1.45508E-02
-1.395344E-04,9.76563E-05
-1.395296E-04,4.98047E-03
-1.395248E-04,9.76563E-05
-1.395200E-04,-1.45508E-02
-1.395152E-04,-9.66797E-03
-1.395104E-04,-9.66797E-03
-1.395056E-04,9.76563E-05
-1.395008E-04,-9.66797E-03
-1.394960E-04,1.47461E-02
-1.394912E-04,-4.78516E-03
-1.394864E-04,4.98047E-03
-1.394816E-04,4.98047E-03
-1.394768E-04,-9.66797E-03
-1.394720E-04,9.76563E-05
-1.394672E-04,9.76563E-05
-1.394624E-04,-9.66797E-03
-1.394576E-04,-4.78516E-03
-1.394528E-04,9.76563E-05
-1.394480E-04,9.76563E-05
-1.394432E-04,4.98047E-03
-1.394384E-04,4.98047E-03
-1.394336E-04,9.76563E-05
-1.394288E-04,-9.66797E-03
-1.394240E-04,9.76563E-05
-1.394192E-04,9.76563E-05
-1.394144E-04,-4.78516E-03
-1.394096E-04,-9.66797E-03
-1.394048E-04,4.98047E-03
-1.394000E-04,-1.45508E-02
-1.393952E-04,4.98047E-03
-1.393904E-04,9.76563E-05
-1.393856E-04,9.76563E-05
-1.393808E-04,-9.66797E-03
-1.393760E-04,9.76563E-05
-1.393712E-04,-4.78516E-03
-1.393664E-04,4.98047E-03
-1.393616E-04,-4.78516E-03
-1.393568E-04,-4.78516E-03
-1.393520E-04,-4.78516E-03
-1.393472E-04,-1.45508E-02
-1.393424E-04,4.98047E-03
-1.393376E-04,-9.66797E-03
-1.393328E-04,-9.66797E-03
-1.393280E-04,9.76563E-05
-1.393232E-04,9.76563E-05
-1.393184E-04,-4.78516E-03
-1.393136E-04,-4.78516E-03
-1.393088E-04,-4.78516E-03
-1.393040E-04,-9.66797E-03
-1.392992E-04,9.76563E-05
-1.392944E-04,-9.66797E-03
-1.392896E-04,-1.45508E-02
-1.392848E-04,9.76563E-05
-1.392800E-04,9.76563E-05
-1.392752E-04,1.47461E-02
-1.392704E-04,-9.66797E-03
-1.392656E-04,-4.78516E-03
-1.392608E-04,9.76563E-05
-1.392560E-04,9.76563E-05
-1.392512E-04,-1.45508E-02
-1.392464E-04,4.98047E-03
-1.392416E-04,-1.45508E-02
-1.392368E-04,-9.66797E-03
-1.392320E-04,9.76563E-05
-1.392272E-04,9.76563E-05
-1.392224E-04,-9.66797E-03
-1.392176E-04,-9.66797E-03
-1.392128E-04,-4.78516E-03
-1.392080E-04,9.76563E-05
-1.392032E-04,-1.94336E-02
-1.391984E-04,-4.78516E-03
-1.391936E-04,9.76563E-05
-1.391888E-04,9.76563E-05
-1.391840E-04,9.76563E-05
-1.391792E-04,-9.66797E-03
-1.391744E-04,9.76563E-05
-1.391696E-04,-9.66797E-03
-1.391648E-04,9.76563E-05
-1.391600E-04,-9.66797E-03
-1.391552E-04,9.86328E-03
-1.391504E-04,-9.66797E-03
-1.391456E-04,1.47461E-02
-1.391408E-04,1.47461E-02
-1.391360E-04,9.76563E-05
-1.391312E-04,4.98047E-03
