in s,C1 in V
1.549216000E-01,1.09223E+00
1.549216048E-01,1.06293E+00
1.549216096E-01,1.09223E+00
1.549216144E-01,1.08246E+00
1.549216192E-01,1.09223E+00
1.549216240E-01,1.05316E+00
1.549216288E-01,1.07270E+00
1.549216336E-01,1.07270E+00
1.549216384E-01,1.09223E+00
1.549216432E-01,1.12152E+00
1.549216480E-01,1.06293E+00
1.549216528E-01,1.08246E+00
1.549216576E-01,1.06293E+00
1.549216624E-01,1.05316E+00
1.549216672E-01,1.09223E+00
1.549216720E-01,1.08246E+00
1.549216768E-01,1.07270E+00
1.549216816E-01,1.08246E+00
1.549216864E-01,1.09223E+00
1.549216912E-01,1.09223E+00
1.549216960E-01,1.09223E+00
1.549217008E-01,1.07270E+00
1.549217056E-01,1.08246E+00
1.549217104E-01,1.09223E+00
1.549217152E-01,1.07270E+00
1.549217200E-01,1.08246E+00
1.549217248E-01,1.08246E+00
1.549217296E-01,1.08246E+00
1.549217344E-01,1.07270E+00
1.549217392E-01,1.06293E+00
1.549217440E-01,1.06293E+00
1.549217488E-01,1.11176E+00
1.549217536E-01,1.09223E+00
1.549217584E-01,1.08246E+00
1.549217632E-01,1.08246E+00
1.549217680E-01,1.08246E+00
1.549217728E-01,1.07270E+00
1.549217776E-01,1.05316E+00
1.549217824E-01,1.09223E+00
1.549217872E-01,1.08246E+00
1.549217920E-01,1.07270E+00
1.549217968E-01,1.06293E+00
1.549218016E-01,1.09223E+00
1.549218064E-01,1.11176E+00
1.549218112E-01,1.09223E+00
1.549218160E-01,1.07270E+00
1.549218208E-01,1.07270E+00
1.549218256E-01,1.07270E+00
1.549218304E-01,1.06293E+00
1.549218352E-01,1.08246E+00
1.549218400E-01,1.08246E+00
1.549218448E-01,1.08246E+00
1.549218496E-01,1.08246E+00
1.549218544E-01,1.07270E+00
1.549218592E-01,1.08246E+00
1.549218640E-01,1.07270E+00
1.549218688E-01,1.07270E+00
1.549218736E-01,1.07270E+00
1.549218784E-01,1.08246E+00
1.549218832E-01,1.12152E+00
1.549218880E-01,1.05316E+00
1.549218928E-01,1.05316E+00
1.549218976E-01,1.05316E+00
1.549219024E-01,1.08246E+00
1.549219072E-01,1.09223E+00
1.549219120E-01,1.06293E+00
1.549219168E-01,1.10199E+00
1.549219216E-01,1.06293E+00
1.549219264E-01,1.11176E+00
1.549219312E-01,1.07270E+00
1.549219360E-01,1.08246E+00
1.549219408E-01,1.09223E+00
1.549219456E-01,1.08246E+00
1.549219504E-01,1.06293E+00
1.549219552E-01,1.11176E+00
1.549219600E-01,1.07270E+00
1.549219648E-01,1.09223E+00
1.549219696E-01,1.06293E+00
1.549219744E-01,1.09223E+00
1.549219792E-01,1.09223E+00
1.549219840E-01,1.04340E+00
1.549219888E-01,1.08246E+00
1.549219936E-01,1.08246E+00
1.549219984E-01,1.08246E+00
1.549220032E-01,1.06293E+00
1.549220080E-01,1.05316E+00
1.549220128E-01,1.08246E+00
1.549220176E-01,1.08246E+00
1.549220224E-01,1.09223E+00
1.549220272E-01,1.09223E+00
1.549220320E-01,1.06293E+00
1.549220368E-01,1.07270E+00
1.549220416E-01,1.09223E+00
1.549220464E-01,1.06293E+00
1.549220512E-01,1.09223E+00
1.549220560E-01,1.09223E+00
1.549220608E-01,1.09223E+00
1.549220656E-01,1.08246E+00
1.549220704E-01,1.07270E+00
1.549220752E-01,1.07270E+00
1.549220800E-01,1.08246E+00
1.549220848E-01,1.06293E+00
1.549220896E-01,1.06293E+00
1.549220944E-01,1.08246E+00
1.549220992E-01,1.08246E+00
1.549221040E-01,1.05316E+00
1.549221088E-01,1.07270E+00
1.549221136E-01,1.05316E+00
1.549221184E-01,1.09223E+00
1.549221232E-01,1.07270E+00
1.549221280E-01,1.12152E+00
1.549221328E-01,1.10199E+00
1.549221376E-01,1.08246E+00
1.549221424E-01,1.06293E+00
1.549221472E-01,1.09223E+00
1.549221520E-01,1.07270E+00
1.549221568E-01,1.09223E+00
1.549221616E-01,1.08246E+00
1.549221664E-01,1.09223E+00
1.549221712E-01,1.08246E+00
1.549221760E-01,1.09223E+00
1.549221808E-01,1.06293E+00
1.549221856E-01,1.08246E+00
1.549221904E-01,1.09223E+00
1.549221952E-01,1.09223E+00
1.549222000E-01,1.07270E+00
1.549222048E-01,1.07270E+00
1.549222096E-01,1.09223E+00
1.549222144E-01,1.11176E+00
1.549222192E-01,1.07270E+00
1.549222240E-01,1.07270E+00
1.549222288E-01,1.09223E+00
1.549222336E-01,1.06293E+00
1.549222384E-01,1.06293E+00
1.549222432E-01,1.10199E+00
1.549222480E-01,1.05316E+00
1.549222528E-01,1.08246E+00
1.549222576E-01,1.06293E+00
1.549222624E-01,1.10199E+00
1.549222672E-01,1.09223E+00
1.549222720E-01,1.06293E+00
1.549222768E-01,1.07270E+00
1.549222816E-01,1.09223E+00
1.549222864E-01,1.10199E+00
1.549222912E-01,1.08246E+00
1.549222960E-01,1.07270E+00
1.549223008E-01,1.09223E+00
1.549223056E-01,1.09223E+00
1.549223104E-01,1.07270E+00
1.549223152E-01,1.07270E+00
1.549223200E-01,1.09223E+00
1.549223248E-01,1.07270E+00
1.549223296E-01,1.06293E+00
1.549223344E-01,1.09223E+00
1.549223392E-01,1.08246E+00
1.549223440E-01,1.11176E+00
1.549223488E-01,1.06293E+00
1.549223536E-01,1.09223E+00
1.549223584E-01,1.06293E+00
1.549223632E-01,1.10199E+00
1.549223680E-01,1.09223E+00
1.549223728E-01,1.05316E+00
1.549223776E-01,1.10199E+00
1.549223824E-01,1.06293E+00
