in s,C1 in V
-5.970000E-04,4.70703E-03
-5.969952E-04,9.58984E-03
-5.969904E-04,4.70703E-03
-5.969856E-04,1.44727E-02
-5.969808E-04,-5.05859E-03
-5.969760E-04,-1.75781E-04
-5.969712E-04,-1.75781E-04
-5.969664E-04,-9.94141E-03
-5.969616E-04,-5.05859E-03
-5.969568E-04,9.58984E-03
-5.969520E-04,4.70703E-03
-5.969472E-04,-1.48242E-02
-5.969424E-04,-5.05859E-03
-5.969376E-04,-1.75781E-04
-5.969328E-04,-1.75781E-04
-5.969280E-04,4.70703E-03
-5.969232E-04,-1.75781E-04
-5.969184E-04,4.70703E-03
-5.969136E-04,1.44727E-02
-5.969088E-04,-1.75781E-04
-5.969040E-04,4.70703E-03
-5.968992E-04,9.58984E-03
-5.968944E-04,4.70703E-03
-5.968896E-04,-5.05859E-03
-5.968848E-04,-9.94141E-03
-5.968800E-04,1.44727E-02
-5.968752E-04,9.58984E-03
-5.968704E-04,9.58984E-03
-5.968656E-04,1.44727E-02
-5.968608E-04,-9.94141E-03
-5.968560E-04,4.70703E-03
-5.968512E-04,-5.05859E-03
-5.968464E-04,-1.75781E-04
-5.968416E-04,-1.75781E-04
-5.968368E-04,9.58984E-03
-5.968320E-04,1.44727E-02
-5.968272E-04,-1.75781E-04
-5.968224E-04,-5.05859E-03
-5.968176E-04,-5.05859E-03
-5.968128E-04,4.70703E-03
-5.968080E-04,-1.75781E-04
-5.968032E-04,-1.75781E-04
-5.967984E-04,-1.75781E-04
-5.967936E-04,1.44727E-02
-5.967888E-04,-1.75781E-04
-5.967840E-04,-1.97070E-02
-5.967792E-04,4.70703E-03
-5.967744E-04,9.58984E-03
-5.967696E-04,-1.75781E-04
-5.967648E-04,-1.75781E-04
-5.967600E-04,9.58984E-03
-5.967552E-04,1.93555E-02
-5.967504E-04,-5.05859E-03
-5.967456E-04,-5.05859E-03
-5.967408E-04,-9.94141E-03
-5.967360E-04,-9.94141E-03
-5.967312E-04,-1.75781E-04
-5.967264E-04,-5.05859E-03
-5.967216E-04,9.58984E-03
-5.967168E-04,9.58984E-03
-5.967120E-04,-1.75781E-04
-5.967072E-04,4.70703E-03
-5.967024E-04,4.70703E-03
-5.966976E-04,-1.75781E-04
-5.966928E-04,-1.75781E-04
-5.966880E-04,-5.05859E-03
-5.966832E-04,9.58984E-03
-5.966784E-04,-5.05859E-03
-5.966736E-04,-5.05859E-03
-5.966688E-04,9.58984E-03
-5.966640E-04,-1.75781E-04
-5.966592E-04,9.58984E-03
-5.966544E-04,-1.75781E-04
-5.966496E-04,-5.05859E-03
-5.966448E-04,-1.75781E-04
-5.966400E-04,9.58984E-03
-5.966352E-04,4.70703E-03
-5.966304E-04,4.70703E-03
-5.966256E-04,9.58984E-03
-5.966208E-04,-5.05859E-03
-5.966160E-04,-5.05859E-03
-5.966112E-04,-1.75781E-04
-5.966064E-04,-1.75781E-04
-5.966016E-04,-5.05859E-03
-5.965968E-04,9.58984E-03
-5.965920E-04,4.70703E-03
-5.965872E-04,-1.75781E-04
-5.965824E-04,9.58984E-03
-5.965776E-04,-1.75781E-04
-5.965728E-04,4.70703E-03
-5.965680E-04,4.70703E-03
-5.965632E-04,-1.75781E-04
-5.965584E-04,-9.94141E-03
-5.965536E-04,4.70703E-03
-5.965488E-04,4.70703E-03
-5.965440E-04,-1.75781E-04
