in s,C1 in V
-1.4000000E-04,-8.30078E-03
-1.3999040E-04,1.46484E-03
-1.3998080E-04,1.12305E-02
-1.3997120E-04,1.12305E-02
-1.3996160E-04,1.61133E-02
-1.3995200E-04,-1.80664E-02
-1.3994240E-04,1.46484E-03
-1.3993280E-04,1.12305E-02
-1.3992320E-04,-3.41797E-03
-1.3991360E-04,-3.41797E-03
-1.3990400E-04,1.12305E-02
-1.3989440E-04,-1.31836E-02
-1.3988480E-04,1.46484E-03
-1.3987520E-04,-8.30078E-03
-1.3986560E-04,-3.41797E-03
-1.3985600E-04,1.46484E-03
-1.3984640E-04,-3.41797E-03
-1.3983680E-04,-3.41797E-03
-1.3982720E-04,1.12305E-02
-1.3981760E-04,-1.31836E-02
-1.3980800E-04,-3.41797E-03
-1.3979840E-04,1.46484E-03
-1.3978880E-04,-8.30078E-03
-1.3977920E-04,6.34766E-03
-1.3976960E-04,-8.30078E-03
-1.3976000E-04,-8.30078E-03
-1.3975040E-04,-3.41797E-03
-1.3974080E-04,-3.41797E-03
-1.3973120E-04,-3.41797E-03
-1.3972160E-04,1.12305E-02
-1.3971200E-04,-1.31836E-02
-1.3970240E-04,6.34766E-03
-1.3969280E-04,-8.30078E-03
-1.3968320E-04,-1.31836E-02
-1.3967360E-04,1.46484E-03
-1.3966400E-04,-1.31836E-02
-1.3965440E-04,1.46484E-03
-1.3964480E-04,-1.80664E-02
-1.3963520E-04,-3.41797E-03
-1.3962560E-04,-3.41797E-03
-1.3961600E-04,6.34766E-03
-1.3960640E-04,1.46484E-03
-1.3959680E-04,-3.41797E-03
-1.3958720E-04,-3.41797E-03
-1.3957760E-04,-8.30078E-03
-1.3956800E-04,-3.41797E-03
-1.3955840E-04,-3.41797E-03
-1.3954880E-04,-8.30078E-03
-1.3953920E-04,1.46484E-03
-1.3952960E-04,-3.41797E-03
-1.3952000E-04,-3.41797E-03
-1.3951040E-04,6.34766E-03
-1.3950080E-04,1.12305E-02
-1.3949120E-04,1.12305E-02
-1.3948160E-04,1.46484E-03
-1.3947200E-04,6.34766E-03
-1.3946240E-04,-1.80664E-02
-1.3945280E-04,1.12305E-02
-1.3944320E-04,-8.30078E-03
-1.3943360E-04,-8.30078E-03
-1.3942400E-04,1.46484E-03
-1.3941440E-04,6.34766E-03
-1.3940480E-04,1.46484E-03
-1.3939520E-04,-3.41797E-03
-1.3938560E-04,1.46484E-03
-1.3937600E-04,6.34766E-03
-1.3936640E-04,1.61133E-02
-1.3935680E-04,-8.30078E-03
-1.3934720E-04,-8.30078E-03
-1.3933760E-04,-8.30078E-03
-1.3932800E-04,-3.41797E-03
-1.3931840E-04,1.46484E-03
-1.3930880E-04,1.46484E-03
-1.3929920E-04,-3.41797E-03
-1.3928960E-04,-1.80664E-02
-1.3928000E-04,-1.31836E-02
-1.3927040E-04,1.46484E-03
-1.3926080E-04,-1.31836E-02
-1.3925120E-04,6.34766E-03
-1.3924160E-04,1.46484E-03
-1.3923200E-04,1.46484E-03
-1.3922240E-04,-8.30078E-03
-1.3921280E-04,6.34766E-03
-1.3920320E-04,-3.41797E-03
-1.3919360E-04,1.46484E-03
-1.3918400E-04,-3.41797E-03
-1.3917440E-04,1.46484E-03
-1.3916480E-04,-3.41797E-03
-1.3915520E-04,1.46484E-03
-1.3914560E-04,1.46484E-03
-1.3913600E-04,-3.41797E-03
-1.3912640E-04,-3.41797E-03
-1.3911680E-04,-1.80664E-02
-1.3910720E-04,6.34766E-03
-1.3909760E-04,-1.80664E-02
-1.3908800E-04,-8.30078E-03
-1.3907840E-04,-3.41797E-03
-1.3906880E-04,6.34766E-03
-1.3905920E-04,1.46484E-03
-1.3904960E-04,1.46484E-03
-1.3904000E-04,-1.80664E-02
-1.3903040E-04,1.46484E-03
-1.3902080E-04,-3.41797E-03
-1.3901120E-04,-3.41797E-03
-1.3900160E-04,1.12305E-02
-1.3899200E-04,-1.31836E-02
-1.3898240E-04,1.46484E-03
-1.3897280E-04,-8.30078E-03
-1.3896320E-04,-8.30078E-03
-1.3895360E-04,-1.31836E-02
-1.3894400E-04,1.46484E-03
-1.3893440E-04,-1.80664E-02
-1.3892480E-04,-3.41797E-03
-1.3891520E-04,6.34766E-03
-1.3890560E-04,-3.41797E-03
-1.3889600E-04,6.34766E-03
-1.3888640E-04,-3.41797E-03
-1.3887680E-04,1.46484E-03
-1.3886720E-04,1.46484E-03
-1.3885760E-04,1.46484E-03
-1.3884800E-04,1.46484E-03
-1.3883840E-04,-3.41797E-03
-1.3882880E-04,-3.41797E-03
-1.3881920E-04,-8.30078E-03
-1.3880960E-04,1.46484E-03
-1.3880000E-04,-3.41797E-03
-1.3879040E-04,1.46484E-03
-1.3878080E-04,-1.31836E-02
-1.3877120E-04,6.34766E-03
-1.3876160E-04,-3.41797E-03
-1.3875200E-04,-3.41797E-03
-1.3874240E-04,1.46484E-03
-1.3873280E-04,1.12305E-02
-1.3872320E-04,-8.30078E-03
-1.3871360E-04,-3.41797E-03
-1.3870400E-04,6.34766E-03
-1.3869440E-04,6.34766E-03
-1.3868480E-04,-3.41797E-03
-1.3867520E-04,-2.29492E-02
-1.3866560E-04,6.34766E-03
-1.3865600E-04,-3.41797E-03
-1.3864640E-04,1.46484E-03
