in s,C2 in V
-4.000000E-06,4.43418E-03
-3.997600E-06,4.43418E-03
-3.995200E-06,8.69727E-04
-3.992800E-06,-2.69473E-03
-3.990400E-06,4.43418E-03
-3.988000E-06,-6.25918E-03
-3.985600E-06,-6.25918E-03
-3.983200E-06,-6.25918E-03
-3.980800E-06,-2.69473E-03
-3.978400E-06,8.69727E-04
-3.976000E-06,4.43418E-03
-3.973600E-06,-2.69473E-03
-3.971200E-06,8.69727E-04
-3.968800E-06,-2.69473E-03
-3.966400E-06,4.43418E-03
-3.964000E-06,4.43418E-03
-3.961600E-06,1.15631E-02
-3.959200E-06,1.15631E-02
-3.956800E-06,-2.69473E-03
-3.954400E-06,8.69727E-04
-3.952000E-06,-6.25918E-03
-3.949600E-06,1.15631E-02
-3.947200E-06,8.69727E-04
-3.944800E-06,-2.69473E-03
-3.942400E-06,4.43418E-03
-3.940000E-06,7.99863E-03
-3.937600E-06,8.69727E-04
-3.935200E-06,-1.33881E-02
-3.932800E-06,-6.25918E-03
-3.930400E-06,-6.25918E-03
-3.928000E-06,1.15631E-02
-3.925600E-06,7.99863E-03
-3.923200E-06,-6.25918E-03
-3.920800E-06,7.99863E-03
-3.918400E-06,4.43418E-03
-3.916000E-06,4.43418E-03
-3.913600E-06,-9.82363E-03
-3.911200E-06,-6.25918E-03
-3.908800E-06,-2.69473E-03
-3.906400E-06,-2.69473E-03
-3.904000E-06,8.69727E-04
-3.901600E-06,8.69727E-04
-3.899200E-06,4.43418E-03
-3.896800E-06,4.43418E-03
-3.894400E-06,8.69727E-04
-3.892000E-06,8.69727E-04
-3.889600E-06,1.15631E-02
-3.887200E-06,4.43418E-03
-3.884800E-06,-9.82363E-03
-3.882400E-06,8.69727E-04
-3.880000E-06,-1.33881E-02
-3.877600E-06,4.43418E-03
-3.875200E-06,4.43418E-03
-3.872800E-06,-9.82363E-03
-3.870400E-06,7.99863E-03
-3.868000E-06,8.69727E-04
-3.865600E-06,8.69727E-04
-3.863200E-06,7.99863E-03
-3.860800E-06,4.43418E-03
-3.858400E-06,4.43418E-03
-3.856000E-06,-2.69473E-03
-3.853600E-06,7.99863E-03
-3.851200E-06,8.69727E-04
-3.848800E-06,4.43418E-03
-3.846400E-06,8.69727E-04
-3.844000E-06,4.43418E-03
-3.841600E-06,4.43418E-03
-3.839200E-06,-6.25918E-03
-3.836800E-06,-6.25918E-03
-3.834400E-06,7.99863E-03
-3.832000E-06,-9.82363E-03
-3.829600E-06,8.69727E-04
-3.827200E-06,1.15631E-02
-3.824800E-06,4.43418E-03
-3.822400E-06,-9.82363E-03
-3.820000E-06,4.43418E-03
-3.817600E-06,-6.25918E-03
-3.815200E-06,8.69727E-04
-3.812800E-06,-2.69473E-03
-3.810400E-06,7.99863E-03
-3.808000E-06,1.15631E-02
-3.805600E-06,7.99863E-03
-3.803200E-06,7.99863E-03
-3.800800E-06,-6.25918E-03
-3.798400E-06,1.15631E-02
-3.796000E-06,8.69727E-04
-3.793600E-06,4.43418E-03
-3.791200E-06,8.69727E-04
-3.788800E-06,-2.69473E-03
-3.786400E-06,7.99863E-03
-3.784000E-06,4.43418E-03
-3.781600E-06,7.99863E-03
-3.779200E-06,7.99863E-03
-3.776800E-06,1.51275E-02
-3.774400E-06,4.43418E-03
-3.772000E-06,7.99863E-03
-3.769600E-06,7.99863E-03
-3.767200E-06,1.15631E-02
-3.764800E-06,1.15631E-02
-3.762400E-06,4.43418E-03
-3.760000E-06,1.51275E-02
-3.757600E-06,7.99863E-03
-3.755200E-06,-2.69473E-03
-3.752800E-06,-1.33881E-02
-3.750400E-06,7.99863E-03
-3.748000E-06,8.69727E-04
-3.745600E-06,4.43418E-03
-3.743200E-06,8.69727E-04
-3.740800E-06,1.15631E-02
-3.738400E-06,-6.25918E-03
-3.736000E-06,4.43418E-03
-3.733600E-06,7.99863E-03
-3.731200E-06,-2.69473E-03
-3.728800E-06,4.43418E-03
-3.726400E-06,7.99863E-03
-3.724000E-06,4.43418E-03
-3.721600E-06,4.43418E-03
-3.719200E-06,4.43418E-03
-3.716800E-06,4.43418E-03
-3.714400E-06,-2.69473E-03
-3.712000E-06,-6.25918E-03
-3.709600E-06,-6.25918E-03
-3.707200E-06,-2.69473E-03
-3.704800E-06,4.43418E-03
-3.702400E-06,8.69727E-04
-3.700000E-06,-2.05170E-02
