in s,C1 in V
1.546406000E-01,-8.17871E-01
1.546406048E-01,-8.27637E-01
1.546406096E-01,-8.08105E-01
1.546406144E-01,-8.17871E-01
1.546406192E-01,-8.12988E-01
1.546406240E-01,-8.32520E-01
1.546406288E-01,-8.32520E-01
1.546406336E-01,-8.27637E-01
1.546406384E-01,-8.12988E-01
1.546406432E-01,-8.22754E-01
1.546406480E-01,-8.32520E-01
1.546406528E-01,-8.27637E-01
1.546406576E-01,-8.32520E-01
1.546406624E-01,-8.27637E-01
1.546406672E-01,-8.22754E-01
1.546406720E-01,-8.17871E-01
1.546406768E-01,-8.08105E-01
1.546406816E-01,-8.27637E-01
1.546406864E-01,-8.22754E-01
1.546406912E-01,-8.22754E-01
1.546406960E-01,-8.12988E-01
1.546407008E-01,-8.22754E-01
1.546407056E-01,-8.27637E-01
1.546407104E-01,-8.22754E-01
1.546407152E-01,-8.17871E-01
1.546407200E-01,-8.22754E-01
1.546407248E-01,-8.22754E-01
1.546407296E-01,-8.22754E-01
1.546407344E-01,-8.27637E-01
1.546407392E-01,-8.32520E-01
1.546407440E-01,-8.22754E-01
1.546407488E-01,-8.22754E-01
1.546407536E-01,-8.27637E-01
1.546407584E-01,-8.17871E-01
1.546407632E-01,-8.32520E-01
1.546407680E-01,-8.27637E-01
1.546407728E-01,-8.32520E-01
1.546407776E-01,-8.32520E-01
1.546407824E-01,-8.27637E-01
1.546407872E-01,-8.37402E-01
1.546407920E-01,-8.27637E-01
1.546407968E-01,-8.22754E-01
1.546408016E-01,-8.32520E-01
1.546408064E-01,-8.22754E-01
1.546408112E-01,-8.22754E-01
1.546408160E-01,-8.22754E-01
1.546408208E-01,-8.08105E-01
1.546408256E-01,-8.42285E-01
1.546408304E-01,-8.17871E-01
1.546408352E-01,-8.17871E-01
1.546408400E-01,-8.27637E-01
1.546408448E-01,-8.22754E-01
1.546408496E-01,-8.12988E-01
1.546408544E-01,-8.37402E-01
1.546408592E-01,-8.17871E-01
1.546408640E-01,-8.22754E-01
1.546408688E-01,-8.37402E-01
1.546408736E-01,-8.37402E-01
1.546408784E-01,-8.22754E-01
1.546408832E-01,-8.22754E-01
1.546408880E-01,-8.32520E-01
1.546408928E-01,-8.22754E-01
1.546408976E-01,-8.17871E-01
1.546409024E-01,-8.22754E-01
1.546409072E-01,-8.37402E-01
1.546409120E-01,-8.37402E-01
1.546409168E-01,-8.22754E-01
1.546409216E-01,-8.27637E-01
1.546409264E-01,-8.37402E-01
1.546409312E-01,-8.47168E-01
1.546409360E-01,-8.27637E-01
1.546409408E-01,-8.12988E-01
1.546409456E-01,-8.17871E-01
1.546409504E-01,-8.32520E-01
1.546409552E-01,-8.22754E-01
1.546409600E-01,-8.22754E-01
1.546409648E-01,-8.37402E-01
1.546409696E-01,-8.27637E-01
1.546409744E-01,-8.32520E-01
1.546409792E-01,-8.32520E-01
1.546409840E-01,-8.12988E-01
1.546409888E-01,-8.22754E-01
1.546409936E-01,-8.32520E-01
1.546409984E-01,-8.37402E-01
1.546410032E-01,-8.22754E-01
1.546410080E-01,-8.22754E-01
1.546410128E-01,-8.17871E-01
1.546410176E-01,-8.22754E-01
1.546410224E-01,-8.22754E-01
1.546410272E-01,-8.32520E-01
1.546410320E-01,-8.42285E-01
1.546410368E-01,-8.27637E-01
1.546410416E-01,-8.27637E-01
1.546410464E-01,-8.27637E-01
1.546410512E-01,-8.27637E-01
1.546410560E-01,-8.27637E-01
1.546410608E-01,-8.22754E-01
1.546410656E-01,-8.32520E-01
1.546410704E-01,-8.27637E-01
1.546410752E-01,-8.27637E-01
1.546410800E-01,-8.22754E-01
1.546410848E-01,-8.22754E-01
1.546410896E-01,-8.27637E-01
1.546410944E-01,-8.32520E-01
1.546410992E-01,-8.27637E-01
1.546411040E-01,-8.27637E-01
1.546411088E-01,-8.37402E-01
1.546411136E-01,-8.08105E-01
1.546411184E-01,-8.08105E-01
1.546411232E-01,-8.27637E-01
1.546411280E-01,-8.37402E-01
1.546411328E-01,-8.27637E-01
1.546411376E-01,-8.32520E-01
1.546411424E-01,-8.27637E-01
1.546411472E-01,-8.22754E-01
1.546411520E-01,-8.37402E-01
1.546411568E-01,-8.22754E-01
1.546411616E-01,-8.42285E-01
1.546411664E-01,-8.37402E-01
1.546411712E-01,-8.27637E-01
1.546411760E-01,-8.27637E-01
1.546411808E-01,-8.22754E-01
1.546411856E-01,-8.32520E-01
1.546411904E-01,-8.22754E-01
1.546411952E-01,-8.17871E-01
1.546412000E-01,-8.22754E-01
1.546412048E-01,-8.37402E-01
