x	y
0	0
0.01	0.14106736
0.02	0.198997487
0.03	0.243104916
0.04	0.28
0.05	0.3122499
0.06	0.341174442
0.07	0.367559519
0.08	0.391918359
0.09	0.414608249
0.1	0.435889894
0.11	0.455960525
0.12	0.474973683
0.13	0.493051721
0.14	0.510294033
0.15	0.526782688
0.16	0.542586399
0.17	0.557763391
0.18	0.572363521
0.19	0.586429876
0.2	0.6
0.21	0.613106842
0.22	0.625779514
0.23	0.638043886
0.24	0.649923072
0.25	0.661437828
0.26	0.672606869
0.27	0.683447145
0.28	0.693974063
0.29	0.704201676
0.3	0.714142843
0.31	0.723809367
0.32	0.733212111
0.33	0.742361098
0.34	0.751265599
0.35	0.759934208
0.36	0.768374908
0.37	0.776595133
0.38	0.78460181
0.39	0.792401413
0.4	0.8
0.41	0.807403245
0.42	0.814616474
0.43	0.821644692
0.44	0.828492607
0.45	0.835164654
0.46	0.841665017
0.47	0.847997642
0.48	0.85416626
0.49	0.860174401
0.5	0.866025404
0.51	0.871722433
0.52	0.877268488
0.53	0.882666415
0.54	0.887918915
0.55	0.893028555
0.56	0.897997773
0.57	0.902828887
0.58	0.907524104
0.59	0.912085522
0.6	0.916515139
0.61	0.920814857
0.62	0.924986486
0.63	0.929031754
0.64	0.932952303
0.65	0.9367497
0.66	0.940425436
0.67	0.943980932
0.68	0.947417543
0.69	0.950736557
0.7	0.953939201
0.71	0.957026645
0.72	0.96
0.73	0.962860322
0.74	0.965608616
0.75	0.968245837
0.76	0.970772888
0.77	0.973190629
0.78	0.975499872
0.79	0.977701386
0.8	0.979795897
0.81	0.98178409
0.82	0.98366661
0.83	0.985444062
0.84	0.987117014
0.85	0.988685997
0.86	0.990151504
0.87	0.991513994
0.88	0.992773892
0.89	0.993931587
0.9	0.994987437
0.91	0.995941765
0.92	0.996794864
0.93	0.997546991
0.94	0.998198377
0.95	0.998749218
0.96	0.99919968
0.97	0.999549899
0.98	0.99979998
0.99	0.999949999
1	1
1.01	0.999949999
1.02	0.99979998
1.03	0.999549899
1.04	0.99919968
1.05	0.998749218
1.06	0.998198377
1.07	0.997546991
1.08	0.996794864
1.09	0.995941765
1.1	0.994987437
1.11	0.993931587
1.12	0.992773892
1.13	0.991513994
1.14	0.990151504
1.15	0.988685997
1.16	0.987117014
1.17	0.985444062
1.18	0.98366661
1.19	0.98178409
1.2	0.979795897
1.21	0.977701386
1.22	0.975499872
1.23	0.973190629
1.24	0.970772888
1.25	0.968245837
1.26	0.965608616
1.27	0.962860322
1.28	0.96
1.29	0.957026645
1.3	0.953939201
1.31	0.950736557
1.32	0.947417543
1.33	0.943980932
1.34	0.940425436
1.35	0.9367497
1.36	0.932952303
1.37	0.929031754
1.38	0.924986486
1.39	0.920814857
1.4	0.916515139
1.41	0.912085522
1.42	0.907524104
1.43	0.902828887
1.44	0.897997773
1.45	0.893028555
1.46	0.887918915
1.47	0.882666415
1.48	0.877268488
1.49	0.871722433
1.5	0.866025404
1.51	0.860174401
1.52	0.85416626
1.53	0.847997642
1.54	0.841665017
1.55	0.835164654
1.56	0.828492607
1.57	0.821644692
1.58	0.814616474
1.59	0.807403245
1.6	0.8
1.61	0.792401413
1.62	0.78460181
1.63	0.776595133
1.64	0.768374908
1.65	0.759934208
1.66	0.751265599
1.67	0.742361098
1.68	0.733212111
1.69	0.723809367
1.7	0.714142843
1.71	0.704201676
1.72	0.693974063
1.73	0.683447145
1.74	0.672606869
1.75	0.661437828
1.76	0.649923072
1.77	0.638043886
1.78	0.625779514
1.79	0.613106842
1.8	0.6
1.81	0.586429876
1.82	0.572363521
1.83	0.557763391
1.84	0.542586399
1.85	0.526782688
1.86	0.510294033
1.87	0.493051721
1.88	0.474973683
1.89	0.455960525
1.9	0.435889894
1.91	0.414608249
1.92	0.391918359
1.93	0.367559519
1.94	0.341174442
1.95	0.3122499
1.96	0.28
1.97	0.243104916
1.98	0.198997487
1.99	0.14106736
2	0
