Angle (deg)	Sin(Angle)
0	0
5	0.087155743
10	0.173648178
15	0.258819045
20	0.342020143
25	0.422618262
30	0.5
35	0.573576436
40	0.64278761
45	0.707106781
50	0.766044443
55	0.819152044
60	0.866025404
65	0.906307787
70	0.939692621
75	0.965925826
80	0.984807753
85	0.996194698
90	1
95	0.996194698
100	0.984807753
105	0.965925826
110	0.939692621
115	0.906307787
120	0.866025404
125	0.819152044
130	0.766044443
135	0.707106781
140	0.64278761
145	0.573576436
150	0.5
155	0.422618262
160	0.342020143
165	0.258819045
170	0.173648178
175	0.087155743
180	1.22515E-16
185	-0.087155743
190	-0.173648178
195	-0.258819045
200	-0.342020143
205	-0.422618262
210	-0.5
215	-0.573576436
220	-0.64278761
225	-0.707106781
230	-0.766044443
235	-0.819152044
240	-0.866025404
245	-0.906307787
250	-0.939692621
255	-0.965925826
260	-0.984807753
265	-0.996194698
270	-1
275	-0.996194698
280	-0.984807753
285	-0.965925826
290	-0.939692621
295	-0.906307787
300	-0.866025404
305	-0.819152044
310	-0.766044443
315	-0.707106781
320	-0.64278761
325	-0.573576436
330	-0.5
335	-0.422618262
340	-0.342020143
345	-0.258819045
350	-0.173648178
355	-0.087155743
360	-2.4503E-16
