tau = 4min

Point Number 	 Temperature 
 0 	 51.504781 
 1 	 51.487722 
 2 	 51.487722 
 3 	 51.828893 
 4 	 51.828893 
 5 	 51.436547 
 6 	 51.368312 
 7 	 51.726542 
 8 	 51.368312 
 9 	 51.317137 
 10 	 51.317137 
 11 	 51.283020 
 12 	 51.590073 
 13 	 51.521839 
 14 	 51.214785 
 15 	 51.504781 
 16 	 51.521839 
 17 	 51.504781 
 18 	 51.095375 
 19 	 51.521839 
 20 	 51.521839 
 21 	 51.453605 
 22 	 51.010083 
 23 	 51.010083 
 24 	 50.958907 
 25 	 51.265961 
 26 	 51.265961 
 27 	 51.265961 
 28 	 50.890673 
 29 	 50.856556 
 30 	 50.873614 
 31 	 50.856556 
 32 	 50.805380 
 33 	 50.737146 
 34 	 51.146551 
 35 	 50.754204 
 36 	 51.112434 
 37 	 50.720087 
 38 	 50.668912 
 39 	 50.617736 
 40 	 51.163610 
 41 	 50.617736 
 42 	 50.566560 
 43 	 50.566560 
 44 	 50.549502 
 45 	 50.498326 
 46 	 50.549502 
 47 	 50.464209 
 48 	 50.447151 
 49 	 50.771263 
 50 	 50.668912 
 51 	 50.737146 
 52 	 50.378916 
 53 	 50.310682 
 54 	 50.651853 
 55 	 50.293624 
 56 	 50.242448 
 57 	 50.549502 
 58 	 50.566560 
 59 	 50.515385 
 60 	 50.157155 
 61 	 50.157155 
 62 	 50.515385 
 63 	 50.447151 
 64 	 50.105980 
 65 	 50.566560 
 66 	 50.020687 
 67 	 50.293624 
 68 	 49.969511 
 69 	 49.952453 
 70 	 49.935394 
 71 	 50.327741 
 72 	 50.276565 
 73 	 50.191272 
 74 	 50.208331 
 75 	 49.815984 
 76 	 49.798926 
 77 	 50.157155 
 78 	 50.088921 
 79 	 49.747750 
 80 	 49.730691 
 81 	 49.696574 
 82 	 49.662457 
 83 	 50.191272 
 84 	 49.594223 
 85 	 50.003628 
 86 	 49.577164 
 87 	 49.833043 
 88 	 49.884218 
 89 	 49.525989 
 90 	 49.884218 
 91 	 49.440696 
 92 	 49.781867 
 93 	 49.730691 
 94 	 49.764809 
 95 	 49.355403 
 96 	 49.321286 
 97 	 49.338345 
 98 	 49.304228 
 99 	 49.270111 
 100 	 49.577164 
 101 	 49.218935 
 102 	 49.218935 
 103 	 49.218935 
 104 	 49.474813 
 105 	 49.133642 
 106 	 49.543047 
 107 	 49.082467 
 108 	 49.082467 
 109 	 49.423638 
 110 	 49.014232 
 111 	 49.406579 
 112 	 49.321286 
 113 	 48.945998 
 114 	 49.253052 
 115 	 49.287169 
 116 	 49.235993 
 117 	 49.270111 
 118 	 49.167759 
 119 	 48.792471 
 120 	 49.150701 
 121 	 48.792471 
 122 	 49.082467 
 123 	 48.724237 
 124 	 48.690120 
 125 	 49.082467 
 126 	 48.656003 
 127 	 48.638944 
 128 	 48.604827 
 129 	 48.604827 
 130 	 48.570710 
 131 	 48.570710 
 132 	 48.860705 
 133 	 48.826588 
 134 	 48.468359 
 135 	 48.434242 
 136 	 48.792471 
 137 	 48.724237 
 138 	 48.792471 
 139 	 48.724237 
 140 	 48.331890 
 141 	 48.826588 
 142 	 48.621886 
 143 	 48.775413 
 144 	 48.246598 
 145 	 48.246598 
 146 	 48.195422 
 147 	 48.195422 
 148 	 48.161305 
 149 	 48.110129 
 150 	 48.468359 
 151 	 48.093071 
 152 	 48.058954 
 153 	 48.041895 
 154 	 48.024837 
 155 	 48.348949 
 156 	 48.366008 
 157 	 48.519534 
 158 	 48.144246 
 159 	 48.246598 
 160 	 48.246598 
 161 	 47.888368 
 162 	 47.820134 
 163 	 47.820134 
 164 	 47.786017 
 165 	 47.820134 
 166 	 47.751900 
 167 	 47.734841 
 168 	 48.058954 
 169 	 48.058954 
 170 	 48.007778 
 171 	 48.041895 
 172 	 47.615432 
 173 	 47.973661 
 174 	 47.581314 
 175 	 47.547197 
 176 	 47.496022 
